Question,Answer,Source,Verb,Target
How are thyroid hormone and cretinism related?,cause cretinism,thyroid hormone,cause,cretinism
What does thyroid hormone cause?,cretinism,thyroid hormone,cause,cretinism
Who or what causes cretinism?,thyroid hormone,thyroid hormone,cause,cretinism
What is the relationship between copper and silver?,oxidation,copper,replace,silver
Explain the connection between copper and silver.,copper is a nonrenewable resource,copper,replace,silver
How are copper and silver related?,copper,copper,replace,silver
What is the relationship between the hammer and the gong?,point of contact,the hammer,hit,the gong
Explain the connection between the hammer and the gong.,the hammer hit the gong,the hammer,hit,the gong
How are the hammer and the gong related?,The hammer hit the gong.,the hammer,hit,the gong
What does the hammer hit?,gong,the hammer,hit,the gong
Who or what hits the gong?,hammer,the hammer,hit,the gong
What is the relationship between heart beat rate and weakness?,heart beat rate,heart beat rate,cause,weakness
Explain the connection between heart beat rate and weakness.,heart beat rate,heart beat rate,cause,weakness
How are heart beat rate and weakness related?,heart beat rate causes weakness,heart beat rate,cause,weakness
What does heart beat rate cause?,weakness,heart beat rate,cause,weakness
Who or what causes weakness?,heart beat rate,heart beat rate,cause,weakness
What is the relationship between drastic change and place?,place,drastic change,take,place
Explain the connection between drastic change and place.,place is a synonym for place,drastic change,take,place
How are drastic change and place related?,place,drastic change,take,place
What does drastic change take?,time,drastic change,take,place
Who or what takes place?,drastic change,drastic change,take,place
What is the relationship between pure coal and heat?,energy,pure coal,produce,heat
Explain the connection between pure coal and heat.,coal is a nonrenewable resource,pure coal,produce,heat
How are pure coal and heat related?,coal is a fossil fuel,pure coal,produce,heat
What does pure coal produce?,heat,pure coal,produce,heat
Who or what produces heat?,pure coal,pure coal,produce,heat
What is the relationship between x chromosome and sperm male gamete fuses?,chromosome,x chromosome,contain,sperm male gamete fuses
Explain the connection between x chromosome and sperm male gamete fuses.,chromosome contains sperm male gamete fuses,x chromosome,contain,sperm male gamete fuses
How are x chromosome and sperm male gamete fuses related?,chromosome contains sperm male gamete fuses,x chromosome,contain,sperm male gamete fuses
What contains sperm male gamete fuses?,x chromosome,x chromosome,contain,sperm male gamete fuses
What does x chromosome contain?,sperm male gamete fuses,x chromosome,contain,sperm male gamete fuses
Who or what contains sperm male gamete fuses?,x chromosome,x chromosome,contain,sperm male gamete fuses
What is the relationship between queen and about 2-5 years?,survive,queen,survive,about 2-5 years
Explain the connection between queen and about 2-5 years.,life expectancy,queen,survive,about 2-5 years
How are queen and about 2-5 years related?,survival,queen,survive,about 2-5 years
What survives about 2-5 years?,queen,queen,survive,about 2-5 years
Who or what survives about 2-5 years?,queen,queen,survive,about 2-5 years
What is the relationship between sensory neuron and impulses?,transmitter,sensory neuron,transmit,impulses
Explain the connection between sensory neuron and impulses.,sensory neuron,sensory neuron,transmit,impulses
How are sensory neuron and impulses related?,sensory neuron transmit impulses,sensory neuron,transmit,impulses
What does sensory neuron transmit?,impulses,sensory neuron,transmit,impulses
Who or what transmit impulses?,sensory neuron,sensory neuron,transmit,impulses
What is the relationship between thousands and particles?,charge,thousands,charge,particles
Explain the connection between thousands and particles.,electrons,thousands,charge,particles
How are thousands and particles related?,particles are charged,thousands,charge,particles
Who or what charges particles?,thousands,thousands,charge,particles
What is the relationship between fixed patterns and ancient gods?,resemble,fixed patterns,resemble,ancient gods
Explain the connection between fixed patterns and ancient gods.,mythology,fixed patterns,resemble,ancient gods
How are fixed patterns and ancient gods related?,resemble ancient gods,fixed patterns,resemble,ancient gods
What does fixed patterns resemble?,ancient gods,fixed patterns,resemble,ancient gods
Who or what resembles ancient gods?,fixed patterns,fixed patterns,resemble,ancient gods
What is the relationship between natural disasters and water pollution?,cause,natural disasters,cause,water pollution
Explain the connection between natural disasters and water pollution.,natural disasters cause water pollution,natural disasters,cause,water pollution
How are natural disasters and water pollution related?,natural disasters cause water pollution,natural disasters,cause,water pollution
What does natural disasters cause?,water pollution,natural disasters,cause,water pollution
Who or what causes water pollution?,natural disasters,natural disasters,cause,water pollution
What is the relationship between the bodies and each?,attract,the bodies,attract,each
Explain the connection between the bodies and each.,to each other,the bodies,attract,each
How are the bodies and each related?,to each other,the bodies,attract,each
What does the bodies attract?,each,the bodies,attract,each
Who or what attracts each?,bodies,the bodies,attract,each
What is the relationship between a moving magnet and a wire?,is near,a moving magnet,near,a wire
Explain the connection between a moving magnet and a wire.,is moving,a moving magnet,near,a wire
How are a moving magnet and a wire related?,magnet near a wire,a moving magnet,near,a wire
What does a moving magnet near?,wire,a moving magnet,near,a wire
Who or what years a wire?,a moving magnet near a wire,a moving magnet,near,a wire
What is the relationship between a solid fuel and electricity?,power source,a solid fuel,produce,electricity
Explain the connection between a solid fuel and electricity.,electricity is produced by a solid fuel,a solid fuel,produce,electricity
How are a solid fuel and electricity related?,produce electricity,a solid fuel,produce,electricity
What does a solid fuel produce?,electricity,a solid fuel,produce,electricity
Who or what produces electricity?,solid fuel,a solid fuel,produce,electricity
What is the relationship between an electric heater and 3.6 x 10 j?,supply,an electric heater,supply,3.6 x 10 j
Explain the connection between an electric heater and 3.6 x 10 j.,supply,an electric heater,supply,3.6 x 10 j
How are an electric heater and 3.6 x 10 j related?,supply,an electric heater,supply,3.6 x 10 j
What supply 3.6 x 10 j?,an electric heater,an electric heater,supply,3.6 x 10 j
What does an electric heater supply?,3.6 x 10 j,an electric heater,supply,3.6 x 10 j
Who or what supply 3.6 x 10 j?,an electric heater,an electric heater,supply,3.6 x 10 j
What is the relationship between explanation and properties?,given by,explanation,give,properties
Explain the connection between explanation and properties.,description,explanation,give,properties
How are explanation and properties related?,explanation is a form of explanation,explanation,give,properties
Who or what gives properties?,explanation,explanation,give,properties
What is the relationship between a. b. climate change and place?,location,a. b. climate change,take,place
Explain the connection between a. b. climate change and place.,climate change takes place in a place,a. b. climate change,take,place
How are a. b. climate change and place related?,place,a. b. climate change,take,place
What does a. b. climate change take?,a large amount of energy,a. b. climate change,take,place
Who or what takes place?,a.,a. b. climate change,take,place
What is the relationship between blood and toxic substances?,is metabolized,blood,destroy,toxic substances
Explain the connection between blood and toxic substances.,blood is a metabolite of a substance,blood,destroy,toxic substances
How are blood and toxic substances related?,blood is a form of blood,blood,destroy,toxic substances
Who or what destroys toxic substances?,blood,blood,destroy,toxic substances
What is the relationship between this inheritance and place?,location,this inheritance,take,place
Explain the connection between this inheritance and place.,place,this inheritance,take,place
How are this inheritance and place related?,place,this inheritance,take,place
What does this inheritance take?,place,this inheritance,take,place
Who or what takes place?,this inheritance,this inheritance,take,place
What is the relationship between mention and any three uses?,instance of,mention,mention,any three uses
Explain the connection between mention and any three uses.,use,mention,mention,any three uses
What mentions any three uses?,mention,mention,mention,any three uses
Who or what mentions any three uses?,mention,mention,mention,any three uses
What is the relationship between adrenaline and the body?,body's natural defenses,adrenaline,prepare,the body
Explain the connection between adrenaline and the body.,body's natural defenses,adrenaline,prepare,the body
How are adrenaline and the body related?,adrenaline prepares the body,adrenaline,prepare,the body
What is the relationship between a device and electrical energy?,is a source of energy,a device,convert,electrical energy
Explain the connection between a device and electrical energy.,electrical energy,a device,convert,electrical energy
How are a device and electrical energy related?,device convert electrical energy,a device,convert,electrical energy
What does a device convert?,electrical energy,a device,convert,electrical energy
Who or what converts electrical energy?,device,a device,convert,electrical energy
What is the relationship between high ac voltage ic and the transformer?,part of,high ac voltage ic,step,the transformer
Explain the connection between high ac voltage ic and the transformer.,high ac voltage ic,high ac voltage ic,step,the transformer
How are high ac voltage ic and the transformer related?,high ac voltage ic,high ac voltage ic,step,the transformer
What does high ac voltage ic step?,transformer,high ac voltage ic,step,the transformer
Who or what steps the transformer?,high ac voltage ic,high ac voltage ic,step,the transformer
What is the relationship between the sun and huge amount?,produces,the sun,produce,huge amount
Explain the connection between the sun and huge amount.,energy,the sun,produce,huge amount
How are the sun and huge amount related?,produce,the sun,produce,huge amount
What does the sun produce?,huge amount,the sun,produce,huge amount
Who or what produces huge amount?,the sun,the sun,produce,huge amount
What is the relationship between the normal eyes and the objects?,focus,the normal eyes,focus,the objects
Explain the connection between the normal eyes and the objects.,focus,the normal eyes,focus,the objects
How are the normal eyes and the objects related?,focus the objects,the normal eyes,focus,the objects
What does the normal eyes focus?,objects,the normal eyes,focus,the objects
Who or what focus the objects?,the normal eyes,the normal eyes,focus,the objects
What is the relationship between salty water and greater upthrust?,is inversely proportional to the amount of salt in the water,salty water,result,greater upthrust
Explain the connection between salty water and greater upthrust.,salty water results in greater upthrust.,salty water,result,greater upthrust
How are salty water and greater upthrust related?,salty water,salty water,result,greater upthrust
What does salty water result?,greater upthrust,salty water,result,greater upthrust
Who or what results greater upthrust?,salty water,salty water,result,greater upthrust
What is the relationship between simple contact and place?,location,simple contact,take,place
Explain the connection between simple contact and place.,place is a synonym for place,simple contact,take,place
How are simple contact and place related?,place,simple contact,take,place
What does simple contact take?,time,simple contact,take,place
Who or what takes place?,simple contact,simple contact,take,place
What is the relationship between sprit lamp and heat?,is proportional to,sprit lamp,produce,heat
Explain the connection between sprit lamp and heat.,sprit lamp is a type of light bulb,sprit lamp,produce,heat
How are sprit lamp and heat related?,sprit lamp produces heat,sprit lamp,produce,heat
What does sprit lamp produce?,heat,sprit lamp,produce,heat
Who or what produces heat?,sprit lamp,sprit lamp,produce,heat
What is the relationship between the generator and electricity?,power source,the generator,generate,electricity
Explain the connection between the generator and electricity.,electricity,the generator,generate,electricity
How are the generator and electricity related?,electricity,the generator,generate,electricity
What does the generator generate?,electricity,the generator,generate,electricity
Who or what generate electricity?,generator,the generator,generate,electricity
What is the relationship between cheeks absence and rolling?,cheeks are absent,cheeks absence,bend,rolling
Explain the connection between cheeks absence and rolling.,cheeks,cheeks absence,bend,rolling
How are cheeks absence and rolling related?,cheeks absence,cheeks absence,bend,rolling
What does cheeks absence bend?,rolling,cheeks absence,bend,rolling
Who or what bends rolling?,cheeks,cheeks absence,bend,rolling
What is the relationship between the researcher and names?,given,the researcher,give,names
Explain the connection between the researcher and names.,given,the researcher,give,names
What does the researcher give?,names,the researcher,give,names
Who or what gives names?,researcher,the researcher,give,names
What is the relationship between insulin deficit and the increased glucose level?,cause,insulin deficit,cause,the increased glucose level
Explain the connection between insulin deficit and the increased glucose level.,glucose level,insulin deficit,cause,the increased glucose level
How are insulin deficit and the increased glucose level related?,cause the increased glucose level,insulin deficit,cause,the increased glucose level
What causes the increased glucose level?,insulin deficit,insulin deficit,cause,the increased glucose level
What does insulin deficit cause?,increased glucose level,insulin deficit,cause,the increased glucose level
Who or what causes the increased glucose level?,insulin deficit,insulin deficit,cause,the increased glucose level
What is the relationship between nicholas copernicus and a heliocentric model?,he introduce a heliocentric model,nicholas copernicus,introduce,a heliocentric model
Explain the connection between nicholas copernicus and a heliocentric model.,he introduced a heliocentric model,nicholas copernicus,introduce,a heliocentric model
How are nicholas copernicus and a heliocentric model related?,introduce a heliocentric model,nicholas copernicus,introduce,a heliocentric model
What introduces a heliocentric model?,nicholas copernicus,nicholas copernicus,introduce,a heliocentric model
What does nicholas copernicus introduce?,a heliocentric model,nicholas copernicus,introduce,a heliocentric model
Who or what introduces a heliocentric model?,nicholas copernicus,nicholas copernicus,introduce,a heliocentric model
What is the relationship between bucket and the upward force?,exerted on the object,bucket,experience,the upward force
Explain the connection between bucket and the upward force.,buoyancy,bucket,experience,the upward force
How are bucket and the upward force related?,bucket experience the upward force,bucket,experience,the upward force
What experiences the upward force?,bucket,bucket,experience,the upward force
Who or what experiences the upward force?,bucket,bucket,experience,the upward force
What is the relationship between hyper secretion and exophthalmic goiter?,cause,hyper secretion,cause,exophthalmic goiter
Explain the connection between hyper secretion and exophthalmic goiter.,hypersecretion,hyper secretion,cause,exophthalmic goiter
How are hyper secretion and exophthalmic goiter related?,hyper secretion cause exophthalmic goiter,hyper secretion,cause,exophthalmic goiter
What does hyper secretion cause?,exophthalmic goiter,hyper secretion,cause,exophthalmic goiter
Who or what causes exophthalmic goiter?,hyper secretion,hyper secretion,cause,exophthalmic goiter
What is the relationship between mass and 1 kg force?,given by,mass,give,1 kg force
Explain the connection between mass and 1 kg force.,kinetic energy,mass,give,1 kg force
How are mass and 1 kg force related?,mass gives 1 kg force,mass,give,1 kg force
What gives 1 kg force?,mass,mass,give,1 kg force
Who or what gives 1 kg force?,mass,mass,give,1 kg force
What is the relationship between growth and forms?,shape,growth,like,forms
Explain the connection between growth and forms.,growth is the result of a change in the shape of an object.,growth,like,forms
How are growth and forms related?,growth like forms,growth,like,forms
Who or what likes forms?,growth,growth,like,forms
What is the relationship between the earth and the machine?,earth pulls the machine,the earth,pull,the machine
Explain the connection between the earth and the machine.,machine,the earth,pull,the machine
How are the earth and the machine related?,The earth pulls the machine.,the earth,pull,the machine
What does the earth pull?,machine,the earth,pull,the machine
Who or what pulls the machine?,the earth,the earth,pull,the machine
What is the relationship between 9. mention and the time period?,is a list of,9. mention,mention,the time period
Explain the connection between 9. mention and the time period.,the time period,9. mention,mention,the time period
How are 9. mention and the time period related?,the time period,9. mention,mention,the time period
What mentions the time period?,9.,9. mention,mention,the time period
What does 9. mention mention?,the time period,9. mention,mention,the time period
Who or what mentions the time period?,9.,9. mention,mention,the time period
What is the relationship between the acidic gas and the alkalis?,neutralize,the acidic gas,neutralize,the alkalis
Explain the connection between the acidic gas and the alkalis.,neutralize the alkalis,the acidic gas,neutralize,the alkalis
How are the acidic gas and the alkalis related?,neutralize,the acidic gas,neutralize,the alkalis
What does the acidic gas neutralize?,alkalis,the acidic gas,neutralize,the alkalis
Who or what neutralise the alkalis?,acidic gas,the acidic gas,neutralize,the alkalis
What is the relationship between depletion and entrance?,cause,depletion,cause,entrance
Explain the connection between depletion and entrance.,depletion is a chemical reaction that causes a chemical reaction that causes a chemical reaction that causes a chemical reaction that causes a chemical reaction,depletion,cause,entrance
How are depletion and entrance related?,depletion causes entrance,depletion,cause,entrance
Who or what causes entrance?,depletion,depletion,cause,entrance
What is the relationship between sensory neuron and impulses?,transmitter,sensory neuron,transmit,impulses
Explain the connection between sensory neuron and impulses.,sensory neuron,sensory neuron,transmit,impulses
How are sensory neuron and impulses related?,sensory neuron transmit impulses,sensory neuron,transmit,impulses
What does sensory neuron transmit?,impulses,sensory neuron,transmit,impulses
Who or what transmit impulses?,sensory neuron,sensory neuron,transmit,impulses
What is the relationship between variation and a great role?,game,variation,play,a great role
Explain the connection between variation and a great role.,a person's ability to adapt to a new environment,variation,play,a great role
How are variation and a great role related?,a great role,variation,play,a great role
What plays a great role?,variation,variation,play,a great role
Who or what plays a great role?,variation,variation,play,a great role
What is the relationship between the acidic gas and the alkalis?,neutralize,the acidic gas,neutralize,the alkalis
Explain the connection between the acidic gas and the alkalis.,neutralize the alkalis,the acidic gas,neutralize,the alkalis
How are the acidic gas and the alkalis related?,neutralize,the acidic gas,neutralize,the alkalis
What does the acidic gas neutralize?,alkalis,the acidic gas,neutralize,the alkalis
Who or what neutralise the alkalis?,acidic gas,the acidic gas,neutralize,the alkalis
What is the relationship between the earth c and various scientific experiments?,conduct,the earth c,conduct,various scientific experiments
Explain the connection between the earth c and various scientific experiments.,the earth c conduct various scientific experiments,the earth c,conduct,various scientific experiments
How are the earth c and various scientific experiments related?,the earth c conduct various scientific experiments,the earth c,conduct,various scientific experiments
What conducts various scientific experiments?,earth c,the earth c,conduct,various scientific experiments
What does the earth c conduct?,scientific experiments,the earth c,conduct,various scientific experiments
Who or what conducts various scientific experiments?,earth c,the earth c,conduct,various scientific experiments
What is the relationship between c. clamp and an inclined position?,instance of,c. clamp,clamp,an inclined position
Explain the connection between c. clamp and an inclined position.,a clamp is a device for clamping a metal object.,c. clamp,clamp,an inclined position
How are c. clamp and an inclined position related?,clamps,c. clamp,clamp,an inclined position
What clamps an inclined position?,c. clamp,c. clamp,clamp,an inclined position
What does c. clamp clamp?,an inclined position,c. clamp,clamp,an inclined position
Who or what clamps an inclined position?,c. clamp,c. clamp,clamp,an inclined position
What is the relationship between thyroxine hormone and metabolism?,regulate,thyroxine hormone,regulate,metabolism
Explain the connection between thyroxine hormone and metabolism.,thyroxine hormone regulates metabolism,thyroxine hormone,regulate,metabolism
How are thyroxine hormone and metabolism related?,thyroxine hormone regulates metabolism,thyroxine hormone,regulate,metabolism
What does thyroxine hormone regulate?,metabolism,thyroxine hormone,regulate,metabolism
What is the relationship between mass and science?,given,mass,give,science
Explain the connection between mass and science.,mass is a measure of the mass of an object.,mass,give,science
How are mass and science related?,mass is a measure of the size of the universe,mass,give,science
Who or what gives science?,mass,mass,give,science
What is the relationship between developed countries and large amount?,production,developed countries,produce,large amount
Explain the connection between developed countries and large amount.,food,developed countries,produce,large amount
How are developed countries and large amount related?,developed countries produce large amount,developed countries,produce,large amount
What does developed countries produce?,large amount,developed countries,produce,large amount
Who or what produces large amount?,developed countries,developed countries,produce,large amount
What is the relationship between chemicals and chlorofluorocarbons?,is a group,chemicals,like,chlorofluorocarbons
Explain the connection between chemicals and chlorofluorocarbons.,chemical compounds,chemicals,like,chlorofluorocarbons
How are chemicals and chlorofluorocarbons related?,chemical compounds,chemicals,like,chlorofluorocarbons
Who or what likes chlorofluorocarbons?,chemicals,chemicals,like,chlorofluorocarbons
What is the relationship between the medicine and science?,movement,the medicine,move,science
Explain the connection between the medicine and science.,medicine,the medicine,move,science
How are the medicine and science related?,medicine move science,the medicine,move,science
What does the medicine move?,science,the medicine,move,science
Who or what moves science?,medicine,the medicine,move,science
What is the relationship between electromagnetic appliances and the magnetic effect?,radioactive,electromagnetic appliances,discover,the magnetic effect
Explain the connection between electromagnetic appliances and the magnetic effect.,electromagnetic radiation,electromagnetic appliances,discover,the magnetic effect
How are electromagnetic appliances and the magnetic effect related?,electromagnetic appliances,electromagnetic appliances,discover,the magnetic effect
What discovers the magnetic effect?,electromagnetic appliances,electromagnetic appliances,discover,the magnetic effect
What does electromagnetic appliances discover?,magnetic effect,electromagnetic appliances,discover,the magnetic effect
Who or what discovers the magnetic effect?,electromagnetic appliances,electromagnetic appliances,discover,the magnetic effect
What is the relationship between these hormones and body growth?,regulate body growth,these hormones,regulate,body growth
Explain the connection between these hormones and body growth.,hormones,these hormones,regulate,body growth
How are these hormones and body growth related?,regulate body growth,these hormones,regulate,body growth
What does these hormones regulate?,body growth,these hormones,regulate,body growth
What is the relationship between c. propane molecular formula and f h-ec- h?,is a molecular formula,c. propane molecular formula,rot,f h-ec- h
Explain the connection between c. propane molecular formula and f h-ec- h.,is a molecular formula,c. propane molecular formula,rot,f h-ec- h
How are c. propane molecular formula and f h-ec- h related?,rot,c. propane molecular formula,rot,f h-ec- h
What rows f h-ec- h?,rot,c. propane molecular formula,rot,f h-ec- h
What does c. propane molecular formula rot?,f h-ec- h,c. propane molecular formula,rot,f h-ec- h
Who or what rows f h-ec- h?,rot,c. propane molecular formula,rot,f h-ec- h
What is the relationship between acids and the colour?,a chemical reaction,acids,change,the colour
Explain the connection between acids and the colour.,a chemical reaction,acids,change,the colour
How are acids and the colour related?,change the colour,acids,change,the colour
Who or what changes the colour?,acids,acids,change,the colour
What is the relationship between the liver and glycogen?,metabolizes it,the liver,change,glycogen
Explain the connection between the liver and glycogen.,metabolizes it,the liver,change,glycogen
How are the liver and glycogen related?,change glycogen,the liver,change,glycogen
What does the liver change?,glycogen,the liver,change,glycogen
Who or what changes glycogen?,the liver,the liver,change,glycogen
What is the relationship between the prism and the incident ray?,prism bends the incident ray,the prism,bend,the incident ray
Explain the connection between the prism and the incident ray.,a prism is a prism that bends the incident ray.,the prism,bend,the incident ray
How are the prism and the incident ray related?,The prism bends the incident ray,the prism,bend,the incident ray
What bends the incident ray?,prism,the prism,bend,the incident ray
What does the prism bend?,incident ray,the prism,bend,the incident ray
Who or what bends the incident ray?,the prism,the prism,bend,the incident ray
What is the relationship between mention and its types?,is a list of,mention,mention,its types
Explain the connection between mention and its types.,type,mention,mention,its types
How are mention and its types related?,type,mention,mention,its types
Who or what mentions its types?,mention,mention,mention,its types
What is the relationship between waste deposition and methane cause air pollution?,is a combustible waste,waste deposition,generate,methane cause air pollution
Explain the connection between waste deposition and methane cause air pollution.,waste deposition generates methane cause air pollution,waste deposition,generate,methane cause air pollution
How are waste deposition and methane cause air pollution related?,waste deposition generate methane cause air pollution,waste deposition,generate,methane cause air pollution
What generate methane cause air pollution?,waste deposition,waste deposition,generate,methane cause air pollution
What does waste deposition generate?,methane,waste deposition,generate,methane cause air pollution
Who or what generate methane cause air pollution?,waste deposition,waste deposition,generate,methane cause air pollution
What is the relationship between what type and place?,location,what type,take,place
Explain the connection between what type and place.,place,what type,take,place
How are what type and place related?,location,what type,take,place
What does what type take?,place,what type,take,place
Who or what takes place?,type,what type,take,place
What is the relationship between science and the frame?,is a measure of the size of the object,science,raise,the frame
Explain the connection between science and the frame.,the frame is a part of the human body,science,raise,the frame
How are science and the frame related?,science raises objects,science,raise,the frame
Who or what raises the frame?,science,science,raise,the frame
What is the relationship between creams and packs?,are used as a filler,creams,face,packs
Explain the connection between creams and packs.,are a form of cosmetics,creams,face,packs
How are creams and packs related?,face creams,creams,face,packs
Who or what faces packs?,creams,creams,face,packs
What is the relationship between order and the fertility?,increase,order,increase,the fertility
Explain the connection between order and the fertility.,increase the number of eggs,order,increase,the fertility
How are order and the fertility related?,increase the fertility,order,increase,the fertility
Who or what increases the fertility?,order,order,increase,the fertility
What is the relationship between 4 hours and electricity?,4 hours,4 hours,accord,electricity
Explain the connection between 4 hours and electricity.,4 hours,4 hours,accord,electricity
How are 4 hours and electricity related?,4 hours,4 hours,accord,electricity
What does 4 hours accord?,electricity,4 hours,accord,electricity
Who or what accord electricity?,4 hours,4 hours,accord,electricity
What is the relationship between some reaction and place?,instance of,some reaction,take,place
Explain the connection between some reaction and place.,place,some reaction,take,place
How are some reaction and place related?,place,some reaction,take,place
What does some reaction take?,time,some reaction,take,place
Who or what takes place?,some reaction,some reaction,take,place
What is the relationship between its own weight and a liquid?,displace,its own weight,displace,a liquid
Explain the connection between its own weight and a liquid.,gravity,its own weight,displace,a liquid
How are its own weight and a liquid related?,displace,its own weight,displace,a liquid
What does its own weight displace?,liquid,its own weight,displace,a liquid
Who or what displaces a liquid?,its own weight,its own weight,displace,a liquid
What is the relationship between shell subshells total and the number?,parentheses,shell subshells total,know,the number
Explain the connection between shell subshells total and the number.,subshells,shell subshells total,know,the number
How are shell subshells total and the number related?,shell subshells total know the number,shell subshells total,know,the number
What does shell subshells total know?,the number,shell subshells total,know,the number
Who or what knows the number?,shell subshells,shell subshells total,know,the number
What is the relationship between the catalyst and the rate?,rate,the catalyst,increase,the rate
Explain the connection between the catalyst and the rate.,the rate of a chemical reaction,the catalyst,increase,the rate
How are the catalyst and the rate related?,increase the rate,the catalyst,increase,the rate
What does the catalyst increase?,rate,the catalyst,increase,the rate
Who or what increases the rate?,catalyst,the catalyst,increase,the rate
What is the relationship between activity and a magnesium ribbon?,a source of energy,activity,burn,a magnesium ribbon
Explain the connection between activity and a magnesium ribbon.,the ribbon is exposed to heat,activity,burn,a magnesium ribbon
How are activity and a magnesium ribbon related?,activity burns a magnesium ribbon,activity,burn,a magnesium ribbon
What burns a magnesium ribbon?,activity,activity,burn,a magnesium ribbon
Who or what burns a magnesium ribbon?,activity,activity,burn,a magnesium ribbon
What is the relationship between the same amount and difference?,cause,the same amount,cause,difference
Explain the connection between the same amount and difference.,the same amount is equal to the same amount,the same amount,cause,difference
How are the same amount and difference related?,difference,the same amount,cause,difference
What does the same amount cause?,difference,the same amount,cause,difference
Who or what causes difference?,the same amount,the same amount,cause,difference
What is the relationship between small and large objects and the ground?,small and large objects,small and large objects,reach,the ground
Explain the connection between small and large objects and the ground.,small and large objects,small and large objects,reach,the ground
How are small and large objects and the ground related?,small and large objects reach the ground,small and large objects,reach,the ground
What does small and large objects reach?,ground,small and large objects,reach,the ground
Who or what reach the ground?,objects,small and large objects,reach,the ground
What is the relationship between laplace and this hypothesis?,is a synonym for laplace,laplace,modify,this hypothesis
Explain the connection between laplace and this hypothesis.,Laplace is a physicist and mathematician.,laplace,modify,this hypothesis
How are laplace and this hypothesis related?,Laplace is a French physicist.,laplace,modify,this hypothesis
Who or what modify this hypothesis?,laplace,laplace,modify,this hypothesis
What is the relationship between the flow and feeling?,evokes,the flow,give,feeling
Explain the connection between the flow and feeling.,it's a feeling,the flow,give,feeling
How are the flow and feeling related?,feelings are related to the flow,the flow,give,feeling
What does the flow give?,feeling,the flow,give,feeling
Who or what gives feeling?,the flow,the flow,give,feeling
What is the relationship between increasing population and different harmful effects?,cause,increasing population,cause,different harmful effects
Explain the connection between increasing population and different harmful effects.,increasing population,increasing population,cause,different harmful effects
How are increasing population and different harmful effects related?,increasing population cause different harmful effects,increasing population,cause,different harmful effects
What causes different harmful effects?,increasing population,increasing population,cause,different harmful effects
What does increasing population cause?,harmful effects,increasing population,cause,different harmful effects
Who or what causes different harmful effects?,increasing population,increasing population,cause,different harmful effects
What is the relationship between regulation and the body temperature?,body temperature,regulation,regulate,the body temperature
Explain the connection between regulation and the body temperature.,body temperature,regulation,regulate,the body temperature
How are regulation and the body temperature related?,regulation regulates the body temperature,regulation,regulate,the body temperature
What is the relationship between ii cover and all naked wires?,subclass of,ii cover,cover,all naked wires
Explain the connection between ii cover and all naked wires.,cover all naked wires,ii cover,cover,all naked wires
How are ii cover and all naked wires related?,cover all naked wires,ii cover,cover,all naked wires
What covers all naked wires?,ii,ii cover,cover,all naked wires
What does ii cover cover?,all naked wires,ii cover,cover,all naked wires
Who or what covers all naked wires?,ii,ii cover,cover,all naked wires
What is the relationship between two or more nuclei and a nuclear reaction?,nuclei are involved,two or more nuclei,undergo,a nuclear reaction
Explain the connection between two or more nuclei and a nuclear reaction.,two or more nuclei undergo a nuclear reaction,two or more nuclei,undergo,a nuclear reaction
How are two or more nuclei and a nuclear reaction related?,two or more nuclei undergo a nuclear reaction,two or more nuclei,undergo,a nuclear reaction
What undergo a nuclear reaction?,two or more nuclei,two or more nuclei,undergo,a nuclear reaction
What does two or more nuclei undergo?,a nuclear reaction,two or more nuclei,undergo,a nuclear reaction
Who or what undergo a nuclear reaction?,two or more nuclei,two or more nuclei,undergo,a nuclear reaction
What is the relationship between the man and weight?,he exerts weight,the man,exert,weight
Explain the connection between the man and weight.,he is a weightlifter,the man,exert,weight
How are the man and weight related?,exert weight,the man,exert,weight
What does the man exert?,weight,the man,exert,weight
Who or what exerts weight?,man,the man,exert,weight
"What is the relationship between monohybrid and iii, phenotype?",parent taxon,monohybrid,cross,"iii, phenotype"
"Explain the connection between monohybrid and iii, phenotype.",monohybrid,monohybrid,cross,"iii, phenotype"
"How are monohybrid and iii, phenotype related?",monohybrid,monohybrid,cross,"iii, phenotype"
"Who or what cross iii, phenotype?",monohybrid,monohybrid,cross,"iii, phenotype"
What is the relationship between its own weight and a liquid?,displace,its own weight,displace,a liquid
Explain the connection between its own weight and a liquid.,gravity,its own weight,displace,a liquid
How are its own weight and a liquid related?,displace,its own weight,displace,a liquid
What does its own weight displace?,liquid,its own weight,displace,a liquid
Who or what displaces a liquid?,its own weight,its own weight,displace,a liquid
What is the relationship between 3.6 x 10 j and the final temperature?,formula_1,3.6 x 10 j,calculate,the final temperature
Explain the connection between 3.6 x 10 j and the final temperature.,3.6 x 10 j,3.6 x 10 j,calculate,the final temperature
How are 3.6 x 10 j and the final temperature related?,calculate the final temperature,3.6 x 10 j,calculate,the final temperature
What calculated the final temperature?,3.6 x 10 j,3.6 x 10 j,calculate,the final temperature
What does 3.6 x 10 j calculate?,final temperature,3.6 x 10 j,calculate,the final temperature
Who or what calculated the final temperature?,3.6 x 10 j,3.6 x 10 j,calculate,the final temperature
What is the relationship between air pollution and reduction?,a measure of the amount of pollutants in the air,air pollution,cause,reduction
Explain the connection between air pollution and reduction.,reducing the amount of pollutants in the air,air pollution,cause,reduction
