Question,Answer,Source,Verb,Target
What does search engines utilize?,automated software applications,search engines,utilize,automated software applications
Who or what utilizes automated software applications?,search engines,search engines,utilize,automated software applications
What is the relationship between computer science and an integer?,is a list of integers,computer science,type,an integer
Explain the connection between computer science and an integer.,computer science,computer science,type,an integer
How are computer science and an integer related?,computer science,computer science,type,an integer
What does computer science type?,integer,computer science,type,an integer
Who or what types an integer?,computer science,computer science,type,an integer
What is the relationship between f create user and function?,user,f create user,define,function
Explain the connection between f create user and function.,user is a user,f create user,define,function
How are f create user and function related?,user define function,f create user,define,function
What does f create user define?,function,f create user,define,function
Who or what defines function?,user,f create user,define,function
What is the relationship between online gaming posting and hurtful things?,cause of action,online gaming posting,post,hurtful things
Explain the connection between online gaming posting and hurtful things.,online gaming posting post hurtful things,online gaming posting,post,hurtful things
How are online gaming posting and hurtful things related?,online gaming posting,online gaming posting,post,hurtful things
What does online gaming posting post?,hurtful things,online gaming posting,post,hurtful things
Who or what posts hurtful things?,online gaming,online gaming posting,post,hurtful things
What is the relationship between a rootkit and log files?,instance of,a rootkit,access,log files
Explain the connection between a rootkit and log files.,rootkit is a software program that tries to access a computer's log files.,a rootkit,access,log files
How are a rootkit and log files related?,rootkit,a rootkit,access,log files
What does a rootkit access?,log files,a rootkit,access,log files
Who or what access log files?,rootkit,a rootkit,access,log files
What is the relationship between modular programming and the overall program structure?,separate,modular programming,separate,the overall program structure
Explain the connection between modular programming and the overall program structure.,modular programming is a way of modifying a program's structure.,modular programming,separate,the overall program structure
How are modular programming and the overall program structure related?,separate the overall program structure,modular programming,separate,the overall program structure
What separates the overall program structure?,modular programming,modular programming,separate,the overall program structure
What does modular programming separate?,overall program structure,modular programming,separate,the overall program structure
Who or what separates the overall program structure?,modular programming,modular programming,separate,the overall program structure
What is the relationship between the first customer and the product?,customer receives,the first customer,buy,the product
Explain the connection between the first customer and the product.,customer is a customer,the first customer,buy,the product
How are the first customer and the product related?,customer buy the product,the first customer,buy,the product
What does the first customer buy?,the product,the first customer,buy,the product
Who or what busy the product?,first customer,the first customer,buy,the product
What is the relationship between the house and the electronic transaction?,approve,the house,approve,the electronic transaction
Explain the connection between the house and the electronic transaction.,the house approves the electronic transaction,the house,approve,the electronic transaction
How are the house and the electronic transaction related?,house approve the electronic transaction,the house,approve,the electronic transaction
What approved the electronic transaction?,the house,the house,approve,the electronic transaction
What does the house approve?,electronic transaction,the house,approve,the electronic transaction
Who or what approved the electronic transaction?,the house,the house,approve,the electronic transaction
What is the relationship between call check and a string?,is a part of,call check,type,a string
Explain the connection between call check and a string.,call check is a type of string.,call check,type,a string
How are call check and a string related?,call check type a string,call check,type,a string
What does call check type?,string,call check,type,a string
Who or what types a string?,call check,call check,type,a string
What is the relationship between sorting option and sorting enabled fields?,is associated with,sorting option,enable,sorting enabled fields
Explain the connection between sorting option and sorting enabled fields.,sorting enabled fields,sorting option,enable,sorting enabled fields
How are sorting option and sorting enabled fields related?,sorting enabled fields,sorting option,enable,sorting enabled fields
What does sorting option enable?,sorting enabled fields,sorting option,enable,sorting enabled fields
What is the relationship between the major difference and themselves?,replicate,the major difference,replicate,themselves
Explain the connection between the major difference and themselves.,the major difference replicate themselves,the major difference,replicate,themselves
How are the major difference and themselves related?,replicate themselves,the major difference,replicate,themselves
What does the major difference replicate?,themselves,the major difference,replicate,themselves
Who or what delicate themselves?,the major difference,the major difference,replicate,themselves
What is the relationship between introduction define and that idea history?,is a list of,introduction define,introduce,that idea history
Explain the connection between introduction define and that idea history.,definition of definition,introduction define,introduce,that idea history
How are introduction define and that idea history related?,to that idea history,introduction define,introduce,that idea history
What introduces that idea history?,definition,introduction define,introduce,that idea history
What does introduction define introduce?,that idea history,introduction define,introduce,that idea history
Who or what introduces that idea history?,definition,introduction define,introduce,that idea history
What is the relationship between step and the title?,instance of,step,type,the title
Explain the connection between step and the title.,step is a blank space in a document.,step,type,the title
How are step and the title related?,step typed the title.,step,type,the title
Who or what types the title?,step,step,type,the title
What is the relationship between sub- procedure and any value?,sub-procedure,sub- procedure,return,any value
Explain the connection between sub- procedure and any value.,process,sub- procedure,return,any value
How are sub- procedure and any value related?,procedure,sub- procedure,return,any value
What does sub- procedure return?,any value,sub- procedure,return,any value
What is the relationship between grade and statement?,follows,grade,execute,statement
Explain the connection between grade and statement.,grade is a measure of a student's ability to perform a task.,grade,execute,statement
How are grade and statement related?,grade is a measure of a person's ability to perform a task.,grade,execute,statement
Who or what executed statement?,grade,grade,execute,statement
What is the relationship between a user and financial transactions?,user,a user,conduct,financial transactions
Explain the connection between a user and financial transactions.,a user is a user,a user,conduct,financial transactions
How are a user and financial transactions related?,a user conduct financial transactions,a user,conduct,financial transactions
What does a user conduct?,financial transactions,a user,conduct,financial transactions
Who or what conducts financial transactions?,user,a user,conduct,financial transactions
What is the relationship between a network connected computers and hardware devices?,hardware,a network connected computers,share,hardware devices
Explain the connection between a network connected computers and hardware devices.,network connected computers share hardware devices,a network connected computers,share,hardware devices
How are a network connected computers and hardware devices related?,network connected computers share hardware devices,a network connected computers,share,hardware devices
What does a network connected computers share?,hardware devices,a network connected computers,share,hardware devices
What is the relationship between a b and any string?,is a part of,a b,type,any string
Explain the connection between a b and any string.,a b is a type of string,a b,type,any string
How are a b and any string related?,a b is a type of string,a b,type,any string
What does a b type?,string,a b,type,any string
Who or what types any string?,a b,a b,type,any string
What is the relationship between stdio.h and the first number?,input,stdio.h,enter,the first number
Explain the connection between stdio.h and the first number.,stdio.h,stdio.h,enter,the first number
How are stdio.h and the first number related?,stdio.h enter the first number,stdio.h,enter,the first number
What enters the first number?,stdio.h,stdio.h,enter,the first number
Who or what enters the first number?,stdio.h,stdio.h,enter,the first number
What is the relationship between grade 10 field name and computer science?,field,grade 10 field name,head,computer science
Explain the connection between grade 10 field name and computer science.,grade 10 field name,grade 10 field name,head,computer science
How are grade 10 field name and computer science related?,grade 10 field name,grade 10 field name,head,computer science
What does grade 10 field name head?,computer science,grade 10 field name,head,computer science
Who or what heads computer science?,grade 10,grade 10 field name,head,computer science
What is the relationship between several sub- modules and procedure?,sub-modules,several sub- modules,call,procedure
Explain the connection between several sub- modules and procedure.,sub-modules,several sub- modules,call,procedure
How are several sub- modules and procedure related?,submodules,several sub- modules,call,procedure
What does several sub- modules call?,procedure,several sub- modules,call,procedure
Who or what calls procedure?,several sub- modules,several sub- modules,call,procedure
What is the relationship between a message and its contents?,message is a message,a message,view,its contents
Explain the connection between a message and its contents.,message is a message,a message,view,its contents
How are a message and its contents related?,message is a message,a message,view,its contents
What does a message view?,contents,a message,view,its contents
What is the relationship between i. portability and mobility?,is a measure of,i. portability,facilitate,mobility
Explain the connection between i. portability and mobility.,mobility is a function of portability.,i. portability,facilitate,mobility
How are i. portability and mobility related?,Mobility is related to portability,i. portability,facilitate,mobility
What does i. portability facilitate?,mobility,i. portability,facilitate,mobility
Who or what facilitate mobility?,portability,i. portability,facilitate,mobility
What is the relationship between a program and a function procedure?,is a part of,a program,define,a function procedure
Explain the connection between a program and a function procedure.,a program is a computer program,a program,define,a function procedure
How are a program and a function procedure related?,code,a program,define,a function procedure
What defines a function procedure?,a program,a program,define,a function procedure
What does a program define?,function procedure,a program,define,a function procedure
Who or what defines a function procedure?,a program,a program,define,a function procedure
What is the relationship between up to 2048 characters and a field?,instance of,up to 2048 characters,create,a field
Explain the connection between up to 2048 characters and a field.,characters can be used to create a field.,up to 2048 characters,create,a field
How are up to 2048 characters and a field related?,Create a field,up to 2048 characters,create,a field
What does up to 2048 characters create?,field,up to 2048 characters,create,a field
Who or what creates a field?,characters,up to 2048 characters,create,a field
What is the relationship between the services and email?,services,the services,like,email
Explain the connection between the services and email.,email is a form of communication,the services,like,email
How are the services and email related?,services,the services,like,email
What does the services like?,email,the services,like,email
Who or what likes email?,services,the services,like,email
What is the relationship between not eof abc.dat input and name?,is a list of,not eof abc.dat input,store,name
Explain the connection between not eof abc.dat input and name.,is a list of,not eof abc.dat input,store,name
How are not eof abc.dat input and name related?,store name,not eof abc.dat input,store,name
What does not eof abc.dat input store?,name,not eof abc.dat input,store,name
What is the relationship between salary and the query?,is part of the equation,salary,run,the query
Explain the connection between salary and the query.,salary is a measure of a person's income,salary,run,the query
How are salary and the query related?,salary runs the query,salary,run,the query
What is the relationship between online storage and space?,provides,online storage,provide,space
Explain the connection between online storage and space.,online storage is a form of storage.,online storage,provide,space
How are online storage and space related?,online storage provides space,online storage,provide,space
What does online storage provide?,space,online storage,provide,space
What is the relationship between step and drop-down button?,is a part of,step,click,drop-down button
Explain the connection between step and drop-down button.,button is a tool,step,click,drop-down button
How are step and drop-down button related?,step,step,click,drop-down button
Who or what click drop-down button?,step,step,click,drop-down button
What is the relationship between data types and the kind?,data types,data types,determine,the kind
Explain the connection between data types and the kind.,type of data,data types,determine,the kind
How are data types and the kind related?,data types,data types,determine,the kind
What does data types determine?,the kind,data types,determine,the kind
Who or what determines the kind?,data types,data types,determine,the kind
What is the relationship between strategies and the goals?,goals,strategies,secure,the goals
Explain the connection between strategies and the goals.,goals are a way to achieve a goal.,strategies,secure,the goals
How are strategies and the goals related?,strategies secure the goals,strategies,secure,the goals
Who or what secure the goals?,strategies,strategies,secure,the goals
What is the relationship between end sub and the reverse?,end of line,end sub,rev,the reverse
Explain the connection between end sub and the reverse.,the opposite direction,end sub,rev,the reverse
How are end sub and the reverse related?,the opposite of the opposite of the opposite of the opposite of the opposite of the opposite of the opposite of the opposite of the opposite of the opposite of the opposite,end sub,rev,the reverse
What does end sub rev?,reverse,end sub,rev,the reverse
Who or what rev the reverse?,end sub,end sub,rev,the reverse
What is the relationship between amazon and very large server farms?,service provider,amazon,provide,very large server farms
Explain the connection between amazon and very large server farms.,servers,amazon,provide,very large server farms
How are amazon and very large server farms related?,Amazon and very large server farms,amazon,provide,very large server farms
What reads all the records?,displays,displays,read,all the records
Who or what reads all the records?,displays,displays,read,all the records
What is the relationship between don t and information?,is part of,don t,copy,information
Explain the connection between don t and information.,is a form of information,don t,copy,information
How are don t and information related?,copy,don t,copy,information
What does don t copy?,information,don t,copy,information
Who or what copy information?,don t,don t,copy,information
What is the relationship between exit choose and contact management system?,software,exit choose,develop,contact management system
Explain the connection between exit choose and contact management system.,contact management system,exit choose,develop,contact management system
How are exit choose and contact management system related?,contact management system,exit choose,develop,contact management system
What develops contact management system?,exit,exit choose,develop,contact management system
What does exit choose develop?,contact management system,exit choose,develop,contact management system
Who or what develops contact management system?,exit,exit choose,develop,contact management system
What is the relationship between very high towers and the signal?,amplify,very high towers,amplify,the signal
Explain the connection between very high towers and the signal.,very high towers amplify the signal,very high towers,amplify,the signal
How are very high towers and the signal related?,amplify,very high towers,amplify,the signal
What does very high towers amplify?,the signal,very high towers,amplify,the signal
Who or what amply the signal?,very high towers,very high towers,amplify,the signal
What is the relationship between a car and its location information?,transmit,a car,transmit,its location information
Explain the connection between a car and its location information.,a car transmits location information,a car,transmit,its location information
How are a car and its location information related?,transmit its location information,a car,transmit,its location information
What transmit its location information?,a car,a car,transmit,its location information
What does a car transmit?,location information,a car,transmit,its location information
Who or what transmit its location information?,a car,a car,transmit,its location information
What is the relationship between the services and streaming?,services,the services,live,streaming
Explain the connection between the services and streaming.,live,the services,live,streaming
How are the services and streaming related?,live streaming,the services,live,streaming
What does the services live?,streaming,the services,live,streaming
Who or what lives streaming?,services,the services,live,streaming
What is the relationship between method and line?,method,method,size,line
Explain the connection between method and line.,is a measure of distance,method,size,line
How are method and line related?,method,method,size,line
Who or what sizes line?,method,method,size,line
What is the relationship between companies and very large server farms?,service provider,companies,provide,very large server farms
Explain the connection between companies and very large server farms.,companies provide very large server farms,companies,provide,very large server farms
How are companies and very large server farms related?,companies provide very large server farms,companies,provide,very large server farms
What is the relationship between the below steps and fields?,input(),the below steps,add,fields
Explain the connection between the below steps and fields.,"To add a field to a page, you must first create a new field.",the below steps,add,fields
How are the below steps and fields related?,"field = list(map(int, input().split()))",the below steps,add,fields
What does the below steps add?,"field = list(map(int, input().split()))",the below steps,add,fields
Who or what adds fields?,the below steps,the below steps,add,fields
What is the relationship between the below steps and a query?,The query is a list of possible answers to a given question.,the below steps,run,a query
Explain the connection between the below steps and a query.,The user is logged in to their account.,the below steps,run,a query
How are the below steps and a query related?,What is the name of the person who is the owner of the property?,the below steps,run,a query
What does the below steps run?,A query is a list of words.,the below steps,run,a query
What is the relationship between the file and qbasic?,is a part of,the file,save,qbasic
Explain the connection between the file and qbasic.,is a collection of programs that run on a computer,the file,save,qbasic
How are the file and qbasic related?,file,the file,save,qbasic
What does the file save?,qbasic,the file,save,qbasic
What is the relationship between the house and the electronic transaction?,approve,the house,approve,the electronic transaction
Explain the connection between the house and the electronic transaction.,the house approves the electronic transaction,the house,approve,the electronic transaction
How are the house and the electronic transaction related?,house approve the electronic transaction,the house,approve,the electronic transaction
What approved the electronic transaction?,the house,the house,approve,the electronic transaction
What does the house approve?,electronic transaction,the house,approve,the electronic transaction
Who or what approved the electronic transaction?,the house,the house,approve,the electronic transaction
What is the relationship between step and the fields?,instance of,step,choose,the fields
Explain the connection between step and the fields.,step is a human,step,choose,the fields
How are step and the fields related?,step decides which fields to use,step,choose,the fields
What is the relationship between step and the required width value?,step is the same as the required width value,step,type,the required width value
Explain the connection between step and the required width value.,select the desired width value from the dropdown menu.,step,type,the required width value
How are step and the required width value related?,step is the required width value,step,type,the required width value
What types the required width value?,step,step,type,the required width value
Who or what types the required width value?,step,step,type,the required width value
What is the relationship between some viruses and files?,they are part of the overall infection,some viruses,hide,files
Explain the connection between some viruses and files.,viruses can infect a computer,some viruses,hide,files
How are some viruses and files related?,viruses hide files,some viruses,hide,files
What does some viruses hide?,files,some viruses,hide,files
Who or what hides files?,viruses,some viruses,hide,files
What is the relationship between cloud computing and online resources software?,software,cloud computing,provide,online resources software
Explain the connection between cloud computing and online resources software.,cloud computing provides online resources software,cloud computing,provide,online resources software
How are cloud computing and online resources software related?,cloud computing,cloud computing,provide,online resources software
What does cloud computing provide?,online resources software,cloud computing,provide,online resources software
What is the relationship between the compiler and what int price?,float,the compiler,tell,what int price
Explain the connection between the compiler and what int price.,float,the compiler,tell,what int price
How are the compiler and what int price related?,tell what int price,the compiler,tell,what int price
What tells what int price?,the compiler,the compiler,tell,what int price
What does the compiler tell?,what int price,the compiler,tell,what int price
Who or what tells what int price?,compiler,the compiler,tell,what int price
What is the relationship between metropolitan area network and valley?,instance of,metropolitan area network,like,valley
Explain the connection between metropolitan area network and valley.,metropolitan area network,metropolitan area network,like,valley
How are metropolitan area network and valley related?,metropolitan area network,metropolitan area network,like,valley
What does metropolitan area network like?,valley,metropolitan area network,like,valley
Who or what likes valley?,metropolitan area network,metropolitan area network,like,valley
What is the relationship between smartphones and the ipad?,devices,smartphones,like,the ipad
Explain the connection between smartphones and the ipad.,the ipad is a touchscreen device,smartphones,like,the ipad
How are smartphones and the ipad related?,smartphones,smartphones,like,the ipad
Who or what likes the ipad?,smartphones,smartphones,like,the ipad
What is the relationship between stdio.h and total marks?,is a list of values,stdio.h,calculate,total marks
Explain the connection between stdio.h and total marks.,stdio.h is a computer program,stdio.h,calculate,total marks
Who or what calculated total marks?,stdio.h,stdio.h,calculate,total marks
What is the relationship between the act and digital communication?,is a part of,the act,mean,digital communication
Explain the connection between the act and digital communication.,the act,the act,mean,digital communication
How are the act and digital communication related?,act,the act,mean,digital communication
What does the act mean?,digital communication,the act,mean,digital communication
Who or what means digital communication?,the act,the act,mean,digital communication
What changes the current directory?,lists,lists,change,the current directory
Who or what changes the current directory?,lists,lists,change,the current directory
What is the relationship between a field and value?,receive,a field,receive,value
Explain the connection between a field and value.,a field receives a lot of money,a field,receive,value
How are a field and value related?,receive,a field,receive,value
What does a field receive?,value,a field,receive,value
What is the relationship between amazon and very large server farms?,service provider,amazon,provide,very large server farms
Explain the connection between amazon and very large server farms.,servers,amazon,provide,very large server farms
How are amazon and very large server farms related?,Amazon and very large server farms,amazon,provide,very large server farms
What is the relationship between the interconnection and the world?,makes,the interconnection,make,the world
Explain the connection between the interconnection and the world.,the interconnection makes the world,the interconnection,make,the world
How are the interconnection and the world related?,make,the interconnection,make,the world
What does the interconnection make?,the world,the interconnection,make,the world
Who or what makes the world?,interconnection,the interconnection,make,the world
What is the relationship between append and file?,instance of,append,open,file
Explain the connection between append and file.,is a software application that enumerates a word or phrase in a word processor.,append,open,file
How are append and file related?,append open file,append,open,file
Who or what opens file?,append,append,open,file
What is the relationship between e digital footprint and the recording?,recorder,e digital footprint,mean,the recording
Explain the connection between e digital footprint and the recording.,e digital footprint,e digital footprint,mean,the recording
How are e digital footprint and the recording related?,e digital footprint mean the recording,e digital footprint,mean,the recording
What does e digital footprint mean?,recording,e digital footprint,mean,the recording
Who or what means the recording?,e digital footprint,e digital footprint,mean,the recording
What is the relationship between the basis and quantities?,subclass of,the basis,express,quantities
Explain the connection between the basis and quantities.,the same as a comma,the basis,express,quantities
How are the basis and quantities related?,the basis expresses quantities,the basis,express,quantities
What does the basis express?,quantities,the basis,express,quantities
Who or what express quantities?,the basis,the basis,express,quantities
What is the relationship between sub-procedure and a value?,sub-procedure,sub-procedure,return,a value
Explain the connection between sub-procedure and a value.,sub-procedure,sub-procedure,return,a value
How are sub-procedure and a value related?,sub-procedure,sub-procedure,return,a value
What is the relationship between most viruses and themselves?,attach,most viruses,attach,themselves
Explain the connection between most viruses and themselves.,to the surface of the virus,most viruses,attach,themselves
How are most viruses and themselves related?,attach themselves,most viruses,attach,themselves
What does most viruses attach?,themselves,most viruses,attach,themselves
Who or what attacks themselves?,viruses,most viruses,attach,themselves
What is the relationship between f differentiate and the different looping statements?,formula_1,f differentiate,explain,the different looping statements
Explain the connection between f differentiate and the different looping statements.,f differentiate is a programming language.,f differentiate,explain,the different looping statements
How are f differentiate and the different looping statements related?,explain the different looping statements,f differentiate,explain,the different looping statements
What explains the different looping statements?,f differentiate,f differentiate,explain,the different looping statements
What does f differentiate explain?,different looping statements,f differentiate,explain,the different looping statements
Who or what explains the different looping statements?,f,f differentiate,explain,the different looping statements
What is the relationship between relational operators and the relationship?,operator,relational operators,check,the relationship
Explain the connection between relational operators and the relationship.,they check the status of the relationship,relational operators,check,the relationship
How are relational operators and the relationship related?,check the relationship,relational operators,check,the relationship
What does relational operators check?,relationship,relational operators,check,the relationship
Who or what checks the relationship?,operators,relational operators,check,the relationship
What is the relationship between data types storage size range digits and float type variable?,declaration,data types storage size range digits,declare,float type variable
Explain the connection between data types storage size range digits and float type variable.,data types storage size range digits,data types storage size range digits,declare,float type variable
How are data types storage size range digits and float type variable related?,data types storage size range digits declare float type variable,data types storage size range digits,declare,float type variable
What does data types storage size range digits declare?,float type variable,data types storage size range digits,declare,float type variable
What is the relationship between http hypertext transfer protocol and html documents?,is a type of document,http hypertext transfer protocol,transfer,html documents
Explain the connection between http hypertext transfer protocol and html documents.,web pages,http hypertext transfer protocol,transfer,html documents
How are http hypertext transfer protocol and html documents related?,web pages,http hypertext transfer protocol,transfer,html documents
What does http hypertext transfer protocol transfer?,documents,http hypertext transfer protocol,transfer,html documents
What is the relationship between a user and the data type?,user,a user,select,the data type
Explain the connection between a user and the data type.,select the data type,a user,select,the data type
How are a user and the data type related?,select the data type,a user,select,the data type
What select the data type?,a user,a user,select,the data type
What does a user select?,data type,a user,select,the data type
Who or what select the data type?,a user,a user,select,the data type
What is the relationship between marks.dat and an existing file?,is a list of files that have been opened by marks.dat,marks.dat,open,an existing file
Explain the connection between marks.dat and an existing file.,marks.dat opens a new file,marks.dat,open,an existing file
How are marks.dat and an existing file related?,marks.dat opens an existing file,marks.dat,open,an existing file
What opens an existing file?,marks.dat,marks.dat,open,an existing file
Who or what opens an existing file?,marks.dat,marks.dat,open,an existing file
What is the relationship between octal and the following steps?,part of,octal,follow,the following steps
Explain the connection between octal and the following steps.,is a measure of the amount of water in a body of water.,octal,follow,the following steps
How are octal and the following steps related?,is a sphincter,octal,follow,the following steps
What follows the following steps?,octal is a genus of flowering plants in the sunflower family.,octal,follow,the following steps
Who or what follows the following steps?,octal,octal,follow,the following steps
What is the relationship between output mode and a new file?,instance of,output mode,create,a new file
Explain the connection between output mode and a new file.,output mode is used to create a new file,output mode,create,a new file
How are output mode and a new file related?,output mode creates a new file,output mode,create,a new file
What creates a new file?,output mode,output mode,create,a new file
What does output mode create?,a new file,output mode,create,a new file
Who or what creates a new file?,output mode,output mode,create,a new file
What is the relationship between a sub program and numbers?,display,a sub program,display,numbers
Explain the connection between a sub program and numbers.,display,a sub program,display,numbers
How are a sub program and numbers related?,display,a sub program,display,numbers
What does a sub program display?,numbers,a sub program,display,numbers
What is the relationship between step and the required field name?,instance of,step,add,the required field name
Explain the connection between step and the required field name.,step is a necessary step in the process of creating a new field.,step,add,the required field name
How are step and the required field name related?,step,step,add,the required field name
What adds the required field name?,step,step,add,the required field name
Who or what adds the required field name?,step,step,add,the required field name
What is the relationship between declare function area l and any value?,is a list of,declare function area l,return,any value
Explain the connection between declare function area l and any value.,it's a list of values,declare function area l,return,any value
How are declare function area l and any value related?,return any value,declare function area l,return,any value
What does declare function area l return?,any value,declare function area l,return,any value
What is the relationship between mail programs and an e-mail message?,sender,mail programs,like,an e-mail message
Explain the connection between mail programs and an e-mail message.,e-mail is a form of communication,mail programs,like,an e-mail message
How are mail programs and an e-mail message related?,mail programs like an e-mail message,mail programs,like,an e-mail message
What likes an e-mail message?,mail programs,mail programs,like,an e-mail message
What does mail programs like?,e-mail message,mail programs,like,an e-mail message
Who or what likes an e-mail message?,mail programs,mail programs,like,an e-mail message
What is the relationship between failure and the whole network?,disturbance,failure,disturb,the whole network
Explain the connection between failure and the whole network.,disturbance,failure,disturb,the whole network
How are failure and the whole network related?,disturbance,failure,disturb,the whole network
What disturbs the whole network?,failure,failure,disturb,the whole network
Who or what disturbs the whole network?,failure,failure,disturb,the whole network
What is the relationship between a sequence and abcd?,is a sequence,a sequence,like,abcd
Explain the connection between a sequence and abcd.,is a sequence of events that occur in a sequence of events.,a sequence,like,abcd
How are a sequence and abcd related?,sequence and abcd are related,a sequence,like,abcd
What does a sequence like?,abcd,a sequence,like,abcd
Who or what likes abcd?,sequence,a sequence,like,abcd
What is the relationship between select query select and the relevant data?,display,select query select,display,the relevant data
Explain the connection between select query select and the relevant data.,select query select,select query select,display,the relevant data
How are select query select and the relevant data related?,display the relevant data,select query select,display,the relevant data
What does select query select display?,relevant data,select query select,display,the relevant data
What is the relationship between step and the tick mark?,is associated with,step,remove,the tick mark
Explain the connection between step and the tick mark.,step is used to remove a tick mark.,step,remove,the tick mark
How are step and the tick mark related?,step,step,remove,the tick mark
What removed the tick mark?,step,step,remove,the tick mark
Who or what removed the tick mark?,step,step,remove,the tick mark
What is the relationship between f create user and function?,user,f create user,define,function
Explain the connection between f create user and function.,user is a user,f create user,define,function
How are f create user and function related?,user define function,f create user,define,function
What does f create user define?,function,f create user,define,function
Who or what defines function?,user,f create user,define,function
What is the relationship between the decisions and our society?,society,the decisions,lead,our society
Explain the connection between the decisions and our society.,decisions are a part of society.,the decisions,lead,our society
How are the decisions and our society related?,decisions lead our society,the decisions,lead,our society
What does the decisions lead?,society,the decisions,lead,our society
What is the relationship between a the fake attempt and a problem?,instance of,a the fake attempt,overcome,a problem
Explain the connection between a the fake attempt and a problem.,a fake attempt overcomes a problem,a the fake attempt,overcome,a problem
How are a the fake attempt and a problem related?,a fake attempt overcomes a problem,a the fake attempt,overcome,a problem
What does a the fake attempt overcome?,a problem,a the fake attempt,overcome,a problem
Who or what overcome a problem?,a fake attempt,a the fake attempt,overcome,a problem
What is the relationship between digital footprint and the recording?,recorder,digital footprint,mean,the recording
Explain the connection between digital footprint and the recording.,digital footprint,digital footprint,mean,the recording
How are digital footprint and the recording related?,digital footprint,digital footprint,mean,the recording
What does digital footprint mean?,recording,digital footprint,mean,the recording
Who or what means the recording?,digital footprint,digital footprint,mean,the recording
What is the relationship between grade and sub-procedure sub-procedure a sub-procedure?,create,grade,create,sub-procedure sub-procedure a sub-procedure
Explain the connection between grade and sub-procedure sub-procedure a sub-procedure.,create,grade,create,sub-procedure sub-procedure a sub-procedure
How are grade and sub-procedure sub-procedure a sub-procedure related?,grade create sub-procedure sub-procedure a sub-procedure,grade,create,sub-procedure sub-procedure a sub-procedure
What creates sub-procedure sub-procedure a sub-procedure?,grade,grade,create,sub-procedure sub-procedure a sub-procedure
Who or what creates sub-procedure sub-procedure a sub-procedure?,grade,grade,create,sub-procedure sub-procedure a sub-procedure
What is the relationship between cloud computing due and processors?,processors,cloud computing due,like,processors
Explain the connection between cloud computing due and processors.,cloud computing,cloud computing due,like,processors
How are cloud computing due and processors related?,cloud computing due,cloud computing due,like,processors
What does cloud computing due like?,processors,cloud computing due,like,processors
Who or what likes processors?,cloud computing,cloud computing due,like,processors
What is the relationship between each field and data?,store,each field,store,data
Explain the connection between each field and data.,data is stored in a database.,each field,store,data
How are each field and data related?,store data,each field,store,data
What does each field store?,data,each field,store,data
Who or what likes hamrobazar?,online stores,online stores,like,hamrobazar
What is the relationship between online groups and rumours?,spread,online groups,spread,rumours
Explain the connection between online groups and rumours.,online groups spread rumours,online groups,spread,rumours
How are online groups and rumours related?,online groups spread rumours,online groups,spread,rumours
What does online groups spread?,rumours,online groups,spread,rumours
Who or what spreads rumours?,online groups,online groups,spread,rumours
What is the relationship between some viruses and unnecessary messages?,cause,some viruses,produce,unnecessary messages
Explain the connection between some viruses and unnecessary messages.,viruses are a type of virus.,some viruses,produce,unnecessary messages
How are some viruses and unnecessary messages related?,viruses produce unnecessary messages,some viruses,produce,unnecessary messages
What does some viruses produce?,messages,some viruses,produce,unnecessary messages
Who or what produces unnecessary messages?,viruses,some viruses,produce,unnecessary messages
What is the relationship between step and the database?,instance of,step,open,the database
Explain the connection between step and the database.,step is a key to a computer,step,open,the database
How are step and the database related?,step,step,open,the database
Who or what opens the database?,step,step,open,the database
What is the relationship between the above c program and any two numbers?,answer,the above c program,ask,any two numbers
Explain the connection between the above c program and any two numbers.,answer,the above c program,ask,any two numbers
How are the above c program and any two numbers related?,any two numbers,the above c program,ask,any two numbers
What does the above c program ask?,any two numbers,the above c program,ask,any two numbers
What is the relationship between base and 2 digits?,is a list of digits,base,use,2 digits
Explain the connection between base and 2 digits.,the same as a single digit,base,use,2 digits
How are base and 2 digits related?,base is the same as 2 digits.,base,use,2 digits
What is the relationship between a program and all the information?,display,a program,display,all the information
Explain the connection between a program and all the information.,display,a program,display,all the information
How are a program and all the information related?,display,a program,display,all the information
What does a program display?,all the information,a program,display,all the information
What is the relationship between void void and nothing?,meaningless,void void,mean,nothing
Explain the connection between void void and nothing.,void void,void void,mean,nothing
How are void void and nothing related?,mean nothing,void void,mean,nothing
What does void void mean?,nothing,void void,mean,nothing
Who or what means nothing?,void,void void,mean,nothing
What is the relationship between information and resources?,money,information,spend,resources
Explain the connection between information and resources.,the amount of time it takes to complete a task,information,spend,resources
How are information and resources related?,resources are related,information,spend,resources
Who or what spends resources?,information,information,spend,resources
What is the relationship between grade and an integer?,is part of,grade,type,an integer
Explain the connection between grade and an integer.,is a measure of the number of digits in a number.,grade,type,an integer
How are grade and an integer related?,grade is an integer.,grade,type,an integer
